timestamp,symbol,side,entry_price,close_price,size,stop_loss,take_profit,pnl,pnl_pct,reason
2026-04-09T05:38:39.112262+00:00,DOGE/USDT:USDT,short,0.091580,,5460.899956,0.093391,0.087898,,,OPEN
2026-04-09T07:14:16.870905+00:00,XAU/USDT:USDT,short,4719.017431,,0.105866,4817.388600,4534.012800,,,OPEN
2026-04-09T14:55:54.886550+00:00,ZEC/USDT:USDT,short,316.360020,,1.579629,322.860600,303.868800,,,OPEN
2026-04-09T15:33:32.945812+00:00,ZEC/USDT:USDT,short,316.360020,327.080000,1.579629,322.860600,303.868800,-16.9336,-3.3885%,sl_hit
2026-04-09T15:35:48.089820+00:00,CL/USDT:USDT,long,96.564806,,5.177055,94.648400,100.443200,,,OPEN
2026-04-09T16:19:57.614215+00:00,CL/USDT:USDT,long,96.564806,94.400000,5.177055,94.648400,100.443200,-11.2073,-2.2418%,sl_hit
